Name,URL,Image,Hosted,Self hosted,Open source,Nested conversations,Automatic spam moderation,GDPR compliant,Free option
Cactus Comments,https://cactus.chat/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/cactus-fav.jpg,1,1,1,0,0,0,1
Caint Casa,https://www.caint.casa/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/caint-fav.jpg,1,0,1,0,0,0,1
CommentBox,https://commentbox.io/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/commentbox-fav.jpg,1,0,0,1,0,0,1
Commentics,https://commentics.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/commentics-fav.jpg,0,1,1,1,0,1,1
Commento,https://commento.io/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/commento-fav.jpg,1,1,1,1,1,1,0
Commenze,https://commenze.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/commenze-fav.jpg,1,0,0,1,1,1,0
Coral,https://coralproject.net/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/coral-fav.jpg,1,1,1,1,1,1,0
Cusdis,https://cusdis.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/cusdis-fav.jpg,1,1,1,0,0,0,1
Discourse,https://www.discourse.org/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/discourse-fav.jpg,1,1,1,1,1,1,1
Disqus,https://disqus.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/disqus-fav.jpg,1,0,0,1,1,1,1
Facebook Comments,https://developers.facebook.com/docs/plugins/comments,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/facebook-fav.jpg,1,0,0,1,1,1,1
Gitalk,https://gitalk.github.io/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/gitalk-fav.jpg,0,1,1,0,0,1,1
Gitment,https://imsun.github.io/gitment/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/gitment-fav.jpg,0,1,1,0,0,1,1
Gotell,https://github.com/netlify/gotell,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/gotell-fav.jpg,0,1,1,0,0,1,1
Graph Comment,https://graphcomment.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/graph-fav.jpg,1,0,0,1,1,0,1
HashOver,https://www.barkdull.org/software/hashover,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/hashover-fav.jpg,0,1,1,1,0,1,1
HTML Comment Box,https://www.htmlcommentbox.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/htmlcomment-fav.jpg,1,0,0,1,0,0,1
HyperComments,https://www.hypercomments.com,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/hypercomment-fav.jpg,1,0,0,1,1,1,0
Hyvor Talk,https://talk.hyvor.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/hyvor-fav.jpg,1,0,0,1,1,1,0
Insticator,https://www.insticator.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/insticator-fav.jpg,1,0,0,1,1,0,0
IntenseDebate,https://intensedebate.com/features,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/intense-fav.jpg,1,0,0,1,1,0,1
Juvia,https://phusion.github.io/juvia/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/juvia-fav.jpg,0,1,1,0,1,1,1
Kucos,https://kucos.js.org/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/kucos-fav.jpg,0,1,1,1,0,1,1
Livere,https://www.livere.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/livere-fav.jpg,1,0,0,1,1,1,1
Metype,https://www.metype.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/metype-fav.jpg,1,0,0,1,1,0,1
Mouthful,https://mouthful.dizzy.zone/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/mouthful-fav.jpg,0,1,1,1,0,1,1
Muut,https://muut.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/muut-fav.jpg,1,0,0,1,1,1,0
OpenWeb,https://www.openweb.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/openweb-fav.jpg,1,0,0,1,1,1,0
