Name,URL,Image,Subscriptions,Physical products,Digital downloads,Webhooks,Shipping management,Multi-currency,Free option
BigCommerce,https://www.bigcommerce.com/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/big-fav.jpg,0,1,1,1,1,1,0
Commerce.js,https://commercejs.com/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/commerce-js.svg,0,1,1,1,1,1,0
CommerceLayer,https://commercelayer.io/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/commercerlayer-fav.jpg,1,1,0,1,1,0,0
Crystallize,https://crystallize.com/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/crystallize-fav.jpg,1,1,1,1,0,1,1
Ecwid,https://www.ecwid.com/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/ecwid-fav.jpg,1,1,1,1,1,1,1
Elasticpath,https://www.elasticpath.com/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/elasticpath-fav.jpg,0,1,0,0,0,0,0
Foxy,https://foxy.io/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/foxy-fav.jpg,1,1,1,1,1,1,0
Magento,https://magento.com/products/magento-commerce,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/magento-fav.jpg,1,1,1,0,1,1,0
0pCommerce,https://www.nopcommerce.com/,https://cc-dam.imgix.net/nopCommerce.jpg,0,1,1,0,1,1,1
Payhip,https://payhip.com/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/payhip-fav.jpg,1,1,1,1,0,0,1
Saleor,https://saleor.io/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/saleor-fav.jpg,0,1,0,1,1,1,0
Shopify,https://www.shopify.com/plus/solutions/headless-commerce,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/shopify-fav.jpg,1,1,1,1,1,1,0
Snipcart,https://snipcart.com/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/snipcart-fav.jpg,1,1,1,1,1,1,0
Trolley,https://trolley.link/,https://cc-dam.imgix.net/community/assets/ecosystem/ecommerce/trolley-fav.jpg,1,1,1,1,0,1,0
